vote_id;vote_date;question;issue;title;yeas;nays
00163;10-Dec;On the Motion;S. 612;Motion to Concur in the House Amendment to S. 612, A bill to designate the Federal building and United States courthouse located at 1300 Victoria Street in Laredo, Texas, as the "George P. Kazen Federal Building and United States Courthouse".;78;21
00162;10-Dec;On the Cloture Motion;S. 612;Motion to Invoke Cloture on the Motion to Concur in the House Amendment to S. 612, A bill to designate the Federal building and United States courthouse located at 1300 Victoria Street in Laredo, Texas, as the "George P. Kazen Federal Building and United States Courthouse".;69;30
00161;09-Dec;On the Motion;H.R. 2028;Motion to Concur in the House Amendment to the Senate Amendment to H.R. 2028, A bill making appropriations for energy and water development and related agencies for the fiscal year ending September 30, 2016, and for other purposes.;63;36
00160;09-Dec;On the Cloture Motion;H.R. 2028;Motion to Invoke Cloture on the Motion to Concur in the House Amendment to the Senate Amendment to H.R. 2028, A bill making appropriations for energy and water development and related agencies for the fiscal year ending September 30, 2016, and for other purposes.;61;38
00159;08-Dec;On the Conference Report;S. 2943;Conference Report to Accompany S. 2943, An original bill to authorize appropriations for fiscal year 2017 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.;92;7
00158;07-Dec;On the Cloture Motion;S. 2943;Motion to Invoke Cloture on the Conference Report to Accompany S. 2943, An original bill to authorize appropriations for fiscal year 2017 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.;92;7
00157;07-Dec;On the Motion;H.R. 34;Motion to Concur in the House Amendment to the Senate Amendment to H.R. 34, A bill to authorize and strengthen the tsunami detection, forecast, warning, research, and mitigation program of the National Oceanic and Atmospheric Administration, and for other purposes.;94;5
00156;05-Dec;On the Cloture Motion;H.R. 34;Motion to Invoke Cloture on the Motion to Concur in the House Amendment to the Senate Amendment to H.R. 34, A bill to authorize and strengthen the tsunami detection, forecast, warning, research, and mitigation program of the National Oceanic and Atmospheric Administration, and for other purposes.;85;13
00155;01-Dec;On Passage of the Bill;H.R. 6297;H.R. 6297, A bill to reauthorize the Iran Sanctions Act of 1996.;99;0
00154;29-Nov;On Passage of the Bill;S. 2873;S. 2873 As Amended, A bill to require studies and reports examining the use of, and opportunities to use, technology-enabled collaborative learning and capacity building models to improve programs of the Department of Health and Human Services, and for other purposes.;97;0
00153;17-Nov;On Cloture on the Motion to Proceed;S. 3110;Motion to Invoke Cloture on the Motion to Proceed to S. 3110, A bill to provide for reforms of the administration of the outer Continental Shelf of the United States, to provide for the development of geothermal, solar, and wind energy on public land, and for other purposes.;51;47
00152;15-Nov;On Passage of the Bill;H.R. 4511;H.R. 4511, A bill to amend the Veterans' Oral History Project Act to allow the collection of video and audio recordings of biographical histories by immediate family members of members of the Armed Forces who died as a result of their service during a period of war.;97;0
00151;28-Sep;On Passage of the Bill;H.R. 5325;H.R. 5325 As Amended, A bill making appropriations for the Legislative Branch for the fiscal year ending September 30, 2017, and for other purposes.;72;26
00150;28-Sep;On the Cloture Motion;H.R. 5325;Motion to Invoke Cloture on H.R. 5325, Upon Reconsideration, A bill making appropriations for the Legislative Branch for the fiscal year ending September 30, 2017, and for other purposes.;77;21
00149;28-Sep;On the Cloture Motion;H.R. 5325;Upon Reconsideration Motion to Invoke Cloture on Amdt. No. 5082, In the nature of a substitute.;77;21
00148;28-Sep;On Overriding the Veto;S. 2040;Shall the Bill S. 2040 Pass, the Objections of the President of the United States to the Contrary Notwithstanding?, A bill to deter terrorism, provide justice for victims, and for other purposes.;97;1
00147;27-Sep;On the Cloture Motion;H.R. 5325;Motion to Invoke Cloture on H.R. 5325, A bill making appropriations for the Legislative Branch for the fiscal year ending September 30, 2017, and for other purposes.;40;59
00146;27-Sep;On the Cloture Motion;H.R. 5325;Motion to Invoke Cloture on Amdt. No. 5082, In the nature of a substitute.;45;55
