vote_id;vote_date;question;issue;title;yeas;nays
339;18-Dec;On the Motion;H.R. 2029;Motion to Concur in the House Amendments to the Senate Amendment to H.R. 2029, A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2016, and for other purposes.;65;33
338;18-Dec;On the Motion;H.R. 2029;Motion to Waive All Applicable Budgetary Discipline Re: Motion to Concur in the House Amendments to the Senate Amendment to H.R. 2029, A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2016, and for other purposes.;73;25
337;18-Dec;On the Motion to Table;H.R. 2029;Motion to Table the First House Amendment to the Senate Amendment to H.R. 2029, A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2016, and for other purposes.;31;67
336;18-Dec;On the Cloture Motion;H.R. 2029;Motion to Invoke Cloture on the Motion to Concur in the House Amendments to the Senate Amendment to H.R. 2029, A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2016, and for other purposes.;72;26
335;14-Dec;On the Nomination;PN64;Confirmation Alissa M. Starzak, of New York, to be General Counsel of the Department of the Army;45;34
334;09-Dec;On the Conference Report;S. 1177;Conference Report to Accompany S.1177, An original bill to reauthorize the Elementary and Secondary Education Act of 1965 to ensure that every child achieves.;85;12
333;08-Dec;On the Cloture Motion;S. 1177;Motion to Invoke Cloture Re: Conference Report to Accompany S. 1177, An original bill to reauthorize the Elementary and Secondary Education Act of 1965 to ensure that every child achieves.;84;12
332;07-Dec;On the Nomination;PN18;Confirmation Travis Randall McDonough, of Tennessee, to be U.S. District Judge for the Eastern District;89;0
331;03-Dec;On the Conference Report;H.R. 22;Conference Report to Accompany H.R. 22, An act to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.;83;16
330;03-Dec;On the Motion;H.R. 22;Motion to Waive Rule XXVIII Relative to Section 32205 Re: the Conference Report to Accompany H.R. 22, An act to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.;77;22
329;03-Dec;On Passage of the Bill;H.R. 3762;H.R. 3762 As Amended, A bill to provide for reconciliation pursuant to section 2002 of the concurrent resolution on the budget for fiscal year 2016.;52;47
328;03-Dec;On the Motion;H.R. 3762;Motion to Waive All Applicable Budgetary Discipline Re: Murphy Amdt. No. 2918, To protect victims of violence or disease, veterans, workers who have lost their health insurance and their jobs, and other vulnerable populations from the repeal of the advanced premium tax credit.;46;53
327;03-Dec;On the Motion;H.R. 3762;Motion to Waive All Applicable Budgetary Discipline Re: Baldwin Amdt. No. 2919, To ensure that individuals can keep their health insurance coverage.;45;54
326;03-Dec;On the Motion;H.R. 3762;Motion to Waive All Applicable Budgetary Discipline Re: McConnell Amdt. No. 2916, In the nature of a substitute.;52;47
325;03-Dec;On the Amendment;H.R. 3762;Paul Amdt. No. 2915, To restore Second Amendment rights in the District of Columbia.;54;45
324;03-Dec;On the Amendment;H.R. 3762;Coats Amdt. No. 2888, To amend the Internal Revenue Code of 1986 to extend the special rule for seniors relating to the income level for deduction of medical care expenses, and for other purposes.;60;39
323;03-Dec;On the Amendment;H.R. 3762;Paul Amdt. No. 2899, To prevent the entry of extremists into the United States under the refugee program, and for other purposes.;10;89
322;03-Dec;On the Motion;H.R. 3762;Motion to Waive All Applicable Budgetary Discipline Re: Bennet Amdt. No. 2907, To provide additional amounts to the Department of Veterans Affairs to increase the access of veterans to care and improve the physical infrastructure of the Department of Veterans Affairs and to impose a fair share tax on high-income taxpayers.;47;52
